sensitivity,origin,horizon,model,country,n,MAE,RMSE,MAPE,WAPE,bias_pct
all,26,52,rf,Denmark,156,210.69512952327796,321.4098440483431,12.322141987468992,14.963257112382882,-11.842618615146325
all,26,52,rf,Netherlands,156,357.48800862894484,556.2132670259343,13.485586602043847,15.253697811324658,-12.680840696391884
all,26,52,rf,Sweden,156,279.92877873071023,424.7292037872182,12.868866371288027,15.862234238884273,-14.604484530635043
all,26,52,ridge,Denmark,156,110.77353921104203,155.06882498829538,8.239189764071183,7.866973252840767,2.9444440724909775
all,26,52,ridge,Netherlands,156,186.72611496602835,280.2756865698323,8.337913356357623,7.9674385221989965,4.244259633448731
all,26,52,ridge,Sweden,156,132.97765302311703,185.6234140550024,7.850659698526448,7.53521195767769,2.950573030523462
all,26,52,ridge_no_channel,Denmark,156,402.451435162291,472.1762281827023,33.788518535111365,28.581506906240705,-2.2992614176372976
all,26,52,ridge_no_channel,Netherlands,156,995.9158422335997,1243.413298831903,52.26599848872717,42.49484999847966,-9.085105207583059
all,26,52,ridge_no_channel,Sweden,156,523.3112691331617,636.9547479603359,33.49888671437582,29.653563911781365,-3.048469119449631
all,26,52,ridge_no_season,Denmark,156,2553.2299483751713,3162.608222124118,184.04263018562267,181.3266223619699,180.18553477223242
all,26,52,ridge_no_season,Netherlands,156,4326.56057952278,5731.462912938285,186.0308669088953,184.61052133060736,183.72326350867363
all,26,52,ridge_no_season,Sweden,156,3194.642264996334,4007.132268164815,183.15001242768386,181.02520271972426,180.20221605502914
all,26,52,ridge_price,Denmark,156,109.13211347647237,154.2264781012422,8.003922588298138,7.750401619918733,2.189801807680744
all,26,52,ridge_price,Netherlands,156,183.6267741989032,276.71285454055345,8.14121127705459,7.835192387126208,3.586264814499861
all,26,52,ridge_price,Sweden,156,132.34735750431466,184.09454010848057,7.7967101640497,7.499496104508551,2.298786416029428
all,26,52,ridge_promo,Denmark,156,110.68769477814963,155.06469681888535,8.231124033474298,7.860876707923274,2.8929251201557915
all,26,52,ridge_promo,Netherlands,156,186.72708874289626,280.3056766237926,8.338212995085836,7.967480072398501,4.219738124611956
all,26,52,ridge_promo,Sweden,156,133.1128221330682,185.79501620864662,7.857128702740364,7.542871349090137,2.939817654311109
all,52,13,index_trend,Denmark,39,41.16875455115735,48.55081500363911,3.8865777586291625,3.5030357976505138,-0.6589793166282826
all,52,13,index_trend,Netherlands,39,83.8809382563624,114.0856433240418,4.030421678978876,4.271313885803618,-1.862830049760792
all,52,13,index_trend,Sweden,39,58.6673009991632,72.25751081076814,3.9474628260298004,4.002772412951777,0.8513561525786609
all,52,13,last,Denmark,39,87.43589743589743,107.45875774167787,7.505535484815938,7.439891783392242,-3.1679539206702447
all,52,13,last,Netherlands,39,144.7948717948718,196.16862186682204,7.531487525981244,7.3731214665291365,-2.333233231926256
all,52,13,last,Sweden,39,108.35897435897436,135.6397944784415,7.363339882104933,7.3931526740259965,-0.8642256083693427
all,52,13,rf,Denmark,39,110.9642680065972,143.0543689381138,8.736107810675563,9.441913104370752,-5.334657632961142
