sensitivity,origin,horizon,model,channel,n,MAE,RMSE,MAPE,WAPE,bias_pct
all,26,26,ridge_no_channel,Gym & Office,78,772.420660317904,821.8559188907832,84.00521993053923,82.05378408846528,82.05378408846528
all,26,26,ridge_no_channel,Retail/Grocery,78,887.104980707737,1058.140353281704,31.17925519326088,34.10781760407134,-34.10781760407134
all,26,26,ridge_no_season,DTC Online,78,1433.0519231074747,1727.0931105166935,97.46260025304927,85.94410998268711,83.77931794214598
all,26,26,ridge_no_season,Gym & Office,78,812.7037996659649,971.6375291595842,98.64801907227387,86.33303785300201,83.51948164443581
all,26,26,ridge_no_season,Retail/Grocery,78,2277.913538871481,2841.4928031498043,98.4866242752172,87.58226048926917,86.03708781436126
all,26,26,ridge_price,DTC Online,78,182.3695880270816,234.9273179084529,11.152544106573044,10.937211470265314,7.016989459903969
all,26,26,ridge_price,Gym & Office,78,109.23176579979616,139.3939633787502,11.74245954016775,11.603625054318771,6.764790587955273
all,26,26,ridge_price,Retail/Grocery,78,289.36065833846106,381.7589312642457,11.286009453817588,11.125470796622434,8.1624994320701
all,26,26,ridge_promo,DTC Online,78,185.73982584051097,238.25708731189232,11.394348357903016,11.139334006535385,7.362560413352593
all,26,26,ridge_promo,Gym & Office,78,112.51561475884118,141.82040561727032,12.17776720172061,11.952466362309826,7.2245269168445025
all,26,26,ridge_promo,Retail/Grocery,78,299.28127588934586,390.5131492331468,11.697375030828768,11.506903232809831,8.677779635148713
all,26,52,index_trend,DTC Online,156,122.44808061426542,165.46186838917242,6.415586048223982,6.958823374884938,-6.081441408463758
all,26,52,index_trend,Gym & Office,156,60.75571161268255,89.29028285708588,5.6503410640276375,6.1530762564212536,-5.1516899845167226
all,26,52,index_trend,Retail/Grocery,156,227.76932372956915,328.0261456757682,7.177688342706452,8.22439414252018,-7.318389209099496
all,26,52,last,DTC Online,156,374.60897435897436,426.08513805552394,22.522870830562802,21.289330744374297,7.107129716319549
all,26,52,last,Gym & Office,156,235.27564102564102,265.9624636133491,26.083418309885786,23.82770149641315,12.1459408575973
all,26,52,last,Retail/Grocery,156,590.1666666666666,702.6502576783023,22.305663447875173,21.30999555588475,6.363417524627805
all,26,52,rf,DTC Online,156,292.2666177085372,403.2219903161287,14.280047010720912,16.60974807286431,-15.103027487746076
all,26,52,rf,Gym & Office,156,105.63501855447034,151.2188543113981,9.6206521579728,10.698258768784608,-4.784664400623592
all,26,52,rf,Retail/Grocery,156,450.21028061992547,638.4491110831119,14.775895792107157,16.256389289846208,-14.756742560839957
all,26,52,ridge,DTC Online,156,136.0767202550948,185.98862044200152,8.017406546905798,7.73334997934229,3.244901457915326
all,26,52,ridge,Gym & Office,156,80.64781222531178,109.42816961306458,8.461702560573075,8.16766235410695,3.7253635809360355
all,26,52,ridge,Retail/Grocery,156,213.75277471978086,300.8164915228083,7.94865371147638,7.71827847388291,3.5789824592279933
all,26,52,ridge_no_channel,DTC Online,156,139.64649524700116,188.41396191447345,7.975771388130995,7.936223176963189,-1.164491751186008
all,26,52,ridge_no_channel,Gym & Office,156,751.7146268455892,807.238156116911,77.27910234859873,76.13041308008694,76.13041308008694
all,26,52,ridge_no_channel,Retail/Grocery,156,1030.317424436462,1219.6741824711855,34.298530001484636,37.20315120456079,-37.20315120456079
all,26,52,ridge_no_season,DTC Online,156,3202.9983336770247,3851.9304791780746,183.40801356386186,182.02898373167693,181.0032944286167
all,26,52,ridge_no_season,Gym & Office,156,1813.3884194306022,2163.6780386776773,186.3043839033977,183.6521527128081,182.31097584930185
all,26,52,ridge_no_season,Retail/Grocery,156,5058.046039786658,6276.144981764257,183.5111120549422,182.6381337971999,181.91256801645707
all,26,52,ridge_price,DTC Online,156,135.19250229604077,184.65713250808557,7.928235971688578,7.683099158169013,2.6638494596097133
all,26,52,ridge_price,Gym & Office,156,79.04035834708066,107.76065168382965,8.228820447854899,8.004866362933479,3.044230572532343
all,26,52,ridge_price,Retail/Grocery,156,210.87338453656884,297.54998819663075,7.78478760985895,7.614308196546723,2.8351671778554794
all,26,52,ridge_promo,DTC Online,156,136.09118392978525,186.0930299827137,8.015403869191818,7.734171961663429,3.217373476297269
all,26,52,ridge_promo,Gym & Office,156,80.68354905728408,109.4707124207292,8.465400954826382,8.171281626212432,3.7110175834737746
all,26,52,ridge_promo,Retail/Grocery,156,213.75287266704478,300.86819025775577,7.945660907282297,7.718282010605461,3.547788837026346
all,52,13,index_trend,DTC Online,39,59.0026768456104,68.50251071832561,4.028026177086573,3.9972630100210287,-0.5359287160577234
all,52,13,index_trend,Gym & Office,39,31.404903098597806,38.15753203243456,4.010085147378958,3.831903203220331,0.6447450992368179
all,52,13,index_trend,Retail/Grocery,39,93.30941386247471,120.18848652523153,3.8263509391723094,4.04098334403415,-1.265549102222362
all,52,13,last,DTC Online,39,111.41025641025641,133.08364441303976,7.5643153053114585,7.547726996369448,-1.766637135859086
all,52,13,last,Gym & Office,39,62.38461538461539,72.82275637569514,7.796021386264296,7.6119262897725495,0.5412508212620842
all,52,13,last,Retail/Grocery,39,166.7948717948718,213.10386296418096,7.040026201326359,7.223443711550847,-3.2080751549070556
all,52,13,rf,DTC Online,39,165.76102285264125,211.96969301040488,10.573392830539355,11.229836349389423,-8.077747423428564
all,52,13,rf,Gym & Office,39,57.73736732268335,66.62404417355613,7.016603442432142,7.044887293385009,-1.5997879911641975
all,52,13,rf,Retail/Grocery,39,216.49430812329118,267.4977450850947,9.337780765962265,9.37579454195078,-8.548929970540811
all,52,13,ridge,DTC Online,39,78.45340830652935,97.70079381000755,5.242284211360678,5.3149945697268315,2.8812553427862624
all,52,13,ridge,Gym & Office,39,51.65831904902251,66.80537312447036,6.4001620365494585,6.303145646253098,4.4278450428956795
all,52,13,ridge,Retail/Grocery,39,122.8883828209852,166.14097545596246,5.250449964397632,5.321970073531906,3.2670345321462304
all,52,13,ridge_no_channel,DTC Online,39,86.20418404434554,100.97464523224501,5.987557044163413,5.840087511472677,-1.6851505446696362
all,52,13,ridge_no_channel,Gym & Office,39,631.638702203847,668.8686401323895,76.19319575795798,77.07007911006485,77.07007911006485
all,52,13,ridge_no_channel,Retail/Grocery,39,857.8741183089736,974.2253510855003,34.85403383164727,37.15225377445751,-37.15225377445751
all,52,13,ridge_no_season,DTC Online,39,351.9698245115586,369.7977336663126,24.401875773882587,23.844951371359954,23.844951371359954
all,52,13,ridge_no_season,Gym & Office,39,210.68274894553957,216.5357324148707,26.315404943948383,25.706683380396218,25.706683380396218
all,52,13,ridge_no_season,Retail/Grocery,39,561.3213421067227,597.7955430568783,24.97006912637903,24.309339221091992,24.309339221091992
all,52,13,ridge_price,DTC Online,39,79.50063610060326,98.74924699353994,5.314906145618615,5.385941264827986,3.02301206112905
all,52,13,ridge_price,Gym & Office,39,52.373842791039266,67.80332176911679,6.492049015508981,6.390451049183529,4.615623003803364
all,52,13,ridge_price,Retail/Grocery,39,124.40442200978835,168.41361055176978,5.297723318701862,5.38762571166383,3.393804388457241
all,52,13,ridge_promo,DTC Online,39,78.1533209202492,97.4750802497346,5.2191019386198345,5.294664505514825,2.828495500647656
all,52,13,ridge_promo,Gym & Office,39,51.513049185727155,66.63949503693463,6.383373321151445,6.285420386832772,4.397423070793661
all,52,13,ridge_promo,Retail/Grocery,39,121.97674260702344,164.8512711628635,5.217292583353606,5.282489352692734,3.17005931093998
all,52,13,seasonal52,DTC Online,39,376.5128205128205,390.8455003299963,25.421043779489782,25.507669324439348,-25.507669324439348
all,52,13,seasonal52,Gym & Office,39,201.6153846153846,209.22524973866115,24.386985784251074,24.60031911898132,-24.60031911898132
all,52,13,seasonal52,Retail/Grocery,39,569.2820512820513,603.8904638323844,24.849248790371668,24.654096431030272,-24.654096431030272
all,52,26,index_trend,DTC Online,78,72.48145805082538,86.71249137842878,3.9457553751704926,3.914119169180545,-0.3749650094349065
all,52,26,index_trend,Gym & Office,78,41.48485119304312,50.48542707197472,4.073609037786555,4.0142147812990645,0.2605944221671405
all,52,26,index_trend,Retail/Grocery,78,129.6563822145422,177.89646619440768,4.054303021779524,4.413102382467628,-2.7188034834457047
all,52,26,last,DTC Online,78,444.46153846153845,602.5740299236779,20.635007925870134,24.00166158958737,-21.69759069509831
all,52,26,last,Gym & Office,78,242.85897435897436,326.3410792407232,20.392448647787827,23.499857336029475,-20.26696770832041
all,52,26,last,Retail/Grocery,78,749.3461538461538,1073.7917061540047,21.33570032790992,25.50542626863848,-23.927510112889077
all,52,26,rf,DTC Online,78,354.0058185108053,456.9403747651194,16.716751307394436,19.116902411965395,-17.86062781212609
all,52,26,rf,Gym & Office,78,149.34892514896268,184.69611189002188,13.044007743545771,14.4515080966382,-12.292422771216922
all,52,26,rf,Retail/Grocery,78,563.9384789344105,713.4925545150513,17.530387024089432,19.19472225310544,-18.869789946783065
all,52,26,ridge,DTC Online,78,113.44768057446198,144.64347118878496,6.145216061864786,6.126363254505701,4.158744641532978
