sensitivity,origin,horizon,model,n,MAE,RMSE,MAPE,WAPE,bias_pct
all,52,13,ridge,117,84.33337005884569,117.77270016839505,5.630965404102589,5.494367146786431,3.349975305050272
all,52,13,ridge_no_channel,117,525.2390015190554,684.7618007818475,39.01159554458955,34.21962044376419,-5.453309783805856
all,52,13,ridge_no_season,117,374.6579718546069,424.6557815987962,25.229116614736668,24.409180498813377,24.409180498813377
all,52,13,ridge_price,117,85.42630030047697,119.32008554556204,5.701559493276485,5.5655721752248555,3.492407752314857
all,52,13,ridge_promo,117,83.88103757099991,117.07284793734453,5.606589281041628,5.464897427280263,3.279019040031129
all,52,13,seasonal52,117,382.47008547008545,432.51940325034457,24.885759451370838,24.918144155381327,-24.918144155381327
all,52,26,index_trend,234,81.20756381947022,117.91944593966369,4.024555811578857,4.183634499695303,-1.444706112703264
all,52,26,last,234,478.8888888888889,735.441497728539,20.787718967189296,24.67129886484725,-22.568756439724183
all,52,26,rf,234,355.76440753139275,500.6591605694079,15.763715358343214,18.32819726522987,-17.381589790501277
all,52,26,ridge,234,111.96949474433754,150.94194214126543,6.160887004817644,5.768421303306602,3.7989065135582565
all,52,26,ridge_no_channel,234,672.876784970699,900.8832853280045,39.61189001251757,34.66512722762577,-5.0426182497836605
all,52,26,ridge_no_season,234,356.9865498031414,438.44026754356804,19.267259425384093,18.39115933835634,2.540989985404275
all,52,26,ridge_price,234,112.95613995303324,152.8183037312434,6.2286422684606,5.819251087379853,3.943301771148165
all,52,26,ridge_promo,234,111.64234285468855,150.09860044880205,6.138787427471913,5.751567159827816,3.7213640184939227
all,52,26,seasonal52,234,491.1752136752137,579.633280028191,25.036505784131535,25.304263207489015,-25.304263207489015
all,65,13,index_trend,117,90.748062939592,121.7060145471538,3.8822512932141833,3.866147429953342,-1.4140845915688411
all,65,13,last,117,646.8034188034188,833.5588720434766,25.724598240423735,27.555820965087317,-27.555820965087317
all,65,13,rf,117,561.7835689728942,675.8728784921674,22.52857867026559,23.933713084546593,-23.933713084546593
all,65,13,ridge,117,118.87716409515959,156.93068936308163,5.0754835662053575,5.064533914653157,-0.8096052407945918
all,65,13,ridge_no_channel,117,822.667038040181,1093.062804986656,38.48087550032264,35.04815366630539,-9.29219968677334
all,65,13,ridge_no_season,117,602.872232842057,763.7907751676468,23.966534812684667,25.684216919804488,-25.684216919804488
all,65,13,ridge_price,117,118.41877417214369,156.80038862904078,5.069775644507389,5.045005089845469,-0.8068281844975872
all,65,13,ridge_promo,117,119.08469354252706,157.77867621788747,5.073050763030473,5.073375309318666,-0.9113365947594092
all,65,13,seasonal52,117,599.8803418803419,696.3307004896772,25.18725211689222,25.556753135150093,-25.556753135150093
exclude_spike_train,26,13,index_trend,117,122.89630634175437,206.8093429061951,5.655875179214283,6.161456515882752,-4.423682803813627
exclude_spike_train,26,13,rf,117,272.039242539404,394.7500374677282,11.89565461140282,13.638798540121295,-11.432325378533545
exclude_spike_train,26,13,ridge,117,223.87375346828384,308.72451912832236,11.648642921764429,11.224002072173224,5.984139217929263
exclude_spike_train,26,26,index_trend,234,104.8213004386203,168.7370284246445,5.483382651364267,6.036161647882671,-4.6300931722333445
exclude_spike_train,26,26,rf,234,189.57902932508318,295.74834377589997,9.626295467033012,10.916957348043693,-7.3841664309893655
exclude_spike_train,26,26,ridge,234,199.2045714765815,276.504309733222,11.75714718621643,11.47124667790155,7.996583822265839
exclude_spike_train,26,52,index_trend,468,136.99103865217236,218.2899728575384,6.414538484986024,7.449958061231406,-6.536010577611246
exclude_spike_train,26,52,rf,468,282.703972294311,444.62432937502336,12.892198320266953,15.374237308206173,-13.082269954139102
exclude_spike_train,26,52,ridge,468,143.4924357333958,213.74194161096565,8.142587606318418,7.803522324055242,3.4986201340872984
exclude_spike_train,52,13,index_trend,117,63.080060451305854,85.72326741426868,4.041289492311023,4.109701907075677,-1.2931191781820761
exclude_spike_train,52,13,rf,117,137.8337383118735,192.9229344228898,8.377768589952424,8.979946644739622,-6.357871193408943
exclude_spike_train,52,13,ridge,117,94.74174067531216,132.79793324391082,6.278830010730865,6.172478427371883,4.82733143819775
exclude_spike_train,52,26,index_trend,234,84.87828656174143,124.23239709080516,4.138416929948412,4.37274203575588,-2.0666896310977907
exclude_spike_train,52,26,rf,234,362.89144043693096,517.9068883832342,15.9574256308941,18.6953662743921,-17.658663594031893
exclude_spike_train,52,26,ridge,234,119.65714827555252,161.1711592935286,6.6168078439662965,6.164472250068093,4.537244917954275
exclude_spike_train,65,13,index_trend,117,91.95720354865566,123.71283535383475,3.912015592679715,3.917660549977683,-1.6090925656487158
exclude_spike_train,65,13,rf,117,591.7358589947212,713.190338110609,23.683366988919104,25.20977303930494,-25.20977303930494
exclude_spike_train,65,13,ridge,117,124.33177061269029,170.10677122220474,5.169799896378045,5.296916979217256,-1.9306805522600177
